id,name,category,subcategory,tags,brand,price,originalPrice,discount,rating,reviewCount,stock,image,deliveryDays,isPrime,sizes,colors
236,Sephora Collection Cream Lip Stain - Pink (2),beauty,makeup,lip|matte|pink,Sephora Collection,16.32,19.86,18,4.6,14905,448,https://picsum.photos/seed/sephora-collection-makeup-236/800/1000,5,True,,Purple
237,CeraVe Hydrating Facial Cleanser - Beige (2),beauty,skincare,cleanser|ceramides|beige,CeraVe,15.68,19.85,21,4.6,16967,62,https://picsum.photos/seed/cerave-skincare-237/800/1000,6,True,,Brown|Grey|Pink
238,Apple Watch SE (2nd Gen) - Purple (1),accessories,watches,smartwatch|fitness|purple,Apple,249.78,292.97,15,4.2,9405,350,https://picsum.photos/seed/apple-watches-238/800/1000,4,True,,Olive|Grey|Brown
239,Carhartt WIP Chase Hoodie - Brown (3),men,hoodies,fleece|street|brown,Carhartt WIP,96.67,114.93,16,4.6,16903,62,https://picsum.photos/seed/carhartt-wip-hoodies-239/800/1000,4,True,S|XXL|M|L,Navy|Brown|Red
240,Levi's 501 Original Fit Jeans - Navy (1),men,jeans,denim|heritage|navy,Levi's,100.54,122.9,18,4.6,5067,426,https://picsum.photos/seed/levi's-jeans-240/800/1000,6,True,XL|L|XXL|S|M,Grey|Olive|Green
241,Hoka Clifton 9 - Purple (2),footwear,running,max cushion|running|purple,Hoka,142.72,177.76,20,5.0,1105,13,https://picsum.photos/seed/hoka-running-241/800/1000,2,True,6|10|7|12,Olive|Green
242,Dr. Martens 1460 Smooth - Grey (1),footwear,boots,boots|leather|grey,Dr. Martens,157.14,166.47,6,4.2,15227,113,https://picsum.photos/seed/dr.-martens-boots-242/800/1000,2,True,8|11|7|12|10,White|Green|Blue
243,Converse Chuck 70 High - Blue (4),footwear,sneakers,canvas|lifestyle|blue,Converse,97.4,110.19,12,4.2,6681,498,https://picsum.photos/seed/converse-sneakers-243/800/1000,3,True,7|9|8|11,Brown|Grey
244,Garmin Forerunner 265 - Red (4),accessories,watches,gps|running|red,Garmin,444.83,472.02,6,4.0,6410,377,https://picsum.photos/seed/garmin-watches-244/800/1000,3,True,,White|Beige|Blue
245,Gap Kids Graphic Tee - Pink (4),kids,t-shirts,cotton|graphic|pink,Gap,20.47,27.46,25,4.3,14130,192,https://picsum.photos/seed/gap-t-shirts-245/800/1000,4,True,3Y|12C|1Y|10C|2Y|13C|11C,Grey|Navy
246,Casio G-Shock DW5600 - Brown (2),accessories,watches,shock resistant|digital|brown,Casio,109.35,135.63,19,3.9,8941,225,https://picsum.photos/seed/casio-watches-246/800/1000,6,True,,Brown
247,Reformation Nikita Dress - Brown (4),women,dresses,sustainable|summer|brown,Reformation,270.16,288.01,6,4.5,13536,240,https://picsum.photos/seed/reformation-dresses-247/800/1000,4,True,M|L|S|XXL,Blue|Grey
248,Carter's 2-Piece Pajama Set - Navy (4),kids,sleepwear,pajamas|soft|navy,Carter's,24.51,31.01,21,4.7,11169,154,https://picsum.photos/seed/carter's-sleepwear-248/800/1000,5,True,11C|13C|10C|2Y,Purple|Red
249,LEGO Classic Bricks and Wheels - Pink (4),kids,toys,lego|creative|pink,LEGO,27.32,30.86,11,3.9,2704,491,https://picsum.photos/seed/lego-toys-249/800/1000,6,True,1Y|12C|10C,White|Navy
250,Nike Dri-FIT Challenger Shorts - Brown (3),men,shorts,running|lightweight|brown,Nike,46.59,60.91,24,4.6,10758,360,https://picsum.photos/seed/nike-shorts-250/800/1000,4,True,XS|L|S|XL,Pink|Grey
251,LEGO Classic Bricks and Wheels - Grey (2),kids,toys,lego|creative|grey,LEGO,28.48,30.84,8,4.2,7921,314,https://picsum.photos/seed/lego-toys-251/800/1000,2,True,1Y|3Y|10C|11C,Pink
252,Levi's 501 Original Fit Jeans - Green (1),men,jeans,denim|heritage|green,Levi's,90.08,105.53,15,4.4,9060,193,https://picsum.photos/seed/levi's-jeans-252/800/1000,5,True,M|XL|L|XS|S|XXL,Green|Red|Pink
253,LEGO Classic Bricks and Wheels - White (4),kids,toys,lego|creative|white,LEGO,28.22,36.6,23,4.5,12618,167,https://picsum.photos/seed/lego-toys-253/800/1000,6,False,10C|2Y|13C|3Y|1Y,Black|Beige
254,Bellroy Slim Sleeve Wallet - Purple (1),accessories,wallets,leather|rfid|purple,Bellroy,88.63,111.2,20,4.7,4145,158,https://picsum.photos/seed/bellroy-wallets-254/800/1000,4,True,,Green
255,Dyson Supersonic Hair Dryer - White (2),beauty,haircare,hair dryer|premium|white,Dyson,489.03,543.32,10,4.3,3275,27,https://picsum.photos/seed/dyson-haircare-255/800/1000,5,True,,Brown|Olive
256,The North Face Nuptse Jacket - Pink (1),women,jackets,down|outdoor|pink,The North Face,291.28,389.43,25,4.8,7063,304,https://picsum.photos/seed/the-north-face-jackets-256/800/1000,5,False,XL|S|M|XXL|L|XS,Navy|Brown
257,Levi's Ribcage Straight Ankle - Beige (1),women,jeans,denim|high rise|beige,Levi's,116.35,137.11,15,3.9,10798,3,https://picsum.photos/seed/levi's-jeans-257/800/1000,3,True,S|XXL|XS|L|XL|M,Blue
258,Tumi Alpha 3 Expandable Brief - Olive (4),accessories,bags,brief|travel|olive,Tumi,482.49,650.43,26,4.9,5084,198,https://picsum.photos/seed/tumi-bags-258/800/1000,5,True,,Grey
259,Apple Watch SE (2nd Gen) - White (3),accessories,watches,smartwatch|fitness|white,Apple,254.59,341.78,26,4.4,16075,97,https://picsum.photos/seed/apple-watches-259/800/1000,4,True,,Beige|Purple|Pink
260,COS Relaxed Linen Shirt - Beige (1),men,shirts,linen|summer|beige,COS,91.12,114.98,21,4.6,9609,105,https://picsum.photos/seed/cos-shirts-260/800/1000,3,True,XXL|XL|S|XS,Olive|Brown
261,Nike Air Force 1 '07 - Olive (2),footwear,sneakers,sneakers|leather|heritage|olive,Nike,106.99,135.06,21,5.0,8512,85,https://picsum.photos/seed/nike-sneakers-261/800/1000,4,True,7|10|8|9,Red|Purple
262,Madewell Transport Tote - Green (2),accessories,bags,tote|leather|green,Madewell,177.5,197.42,10,4.8,10250,495,https://picsum.photos/seed/madewell-bags-262/800/1000,3,True,,Green
263,Carhartt WIP Chase Hoodie - Black (3),men,hoodies,fleece|street|black,Carhartt WIP,85.49,113.9,25,4.0,14584,128,https://picsum.photos/seed/carhartt-wip-hoodies-263/800/1000,5,True,XL|M|S|L|XS,Purple|Green|Black
264,Levi's Ribcage Straight Ankle - Brown (3),women,jeans,denim|high rise|brown,Levi's,116.22,129.1,10,4.2,14101,0,https://picsum.photos/seed/levi's-jeans-264/800/1000,5,True,M|XXL|XS|S,White
265,Oakley Holbrook Prizm - Beige (3),accessories,sunglasses,prizm|sport|beige,Oakley,149.49,170.79,12,4.5,17931,329,https://picsum.photos/seed/oakley-sunglasses-265/800/1000,5,True,,Blue|Brown|Green
266,Nike Air Force 1 '07 - Green (4),footwear,sneakers,sneakers|leather|heritage|green,Nike,121.61,128.89,6,4.1,11212,223,https://picsum.photos/seed/nike-sneakers-266/800/1000,4,True,6|12|7,Blue|Purple|Beige
267,LEGO Classic Bricks and Wheels - Brown (3),kids,toys,lego|creative|brown,LEGO,31.0,38.49,19,5.0,570,136,https://picsum.photos/seed/lego-toys-267/800/1000,3,True,2Y|1Y|12C,Pink
268,Olaplex No.3 Hair Perfector - Blue (4),beauty,haircare,bond repair|hair|blue,Olaplex,27.12,30.66,12,4.8,892,187,https://picsum.photos/seed/olaplex-haircare-268/800/1000,4,True,,Purple
269,Athleta Salutation Stash 7/8 Tight - Grey (1),women,activewear,leggings|performance|grey,Athleta,112.0,129.58,14,4.6,15601,147,https://picsum.photos/seed/athleta-activewear-269/800/1000,5,False,XS|XL|M,Green
270,Arc'teryx Atom LT Hoody - Beige (2),men,jackets,insulated|outdoor|beige,Arc'teryx,283.64,314.05,10,4.2,479,327,https://picsum.photos/seed/arc'teryx-jackets-270/800/1000,6,True,S|XS|L,Brown
271,Levi's Ribcage Straight Ankle - Grey (3),women,jeans,denim|high rise|grey,Levi's,108.89,139.57,22,4.0,9308,367,https://picsum.photos/seed/levi's-jeans-271/800/1000,3,True,XL|XXL|M|XS|S,White|Navy|Black
272,Madewell Transport Tote - Beige (4),accessories,bags,tote|leather|beige,Madewell,199.29,268.81,26,4.0,1831,177,https://picsum.photos/seed/madewell-bags-272/800/1000,3,True,,White
273,The North Face Nuptse Jacket - Purple (1),women,jackets,down|outdoor|purple,The North Face,338.86,413.75,18,4.9,5439,165,https://picsum.photos/seed/the-north-face-jackets-273/800/1000,2,True,S|XXL|M|L,Purple|Navy
274,Levi's Ribcage Straight Ankle - Black (1),women,jeans,denim|high rise|black,Levi's,117.1,149.5,22,4.9,2656,280,https://picsum.photos/seed/levi's-jeans-274/800/1000,6,False,M|S|XL|XXL,Olive|Navy
275,Bellroy Slim Sleeve Wallet - Olive (1),accessories,wallets,leather|rfid|olive,Bellroy,87.35,111.49,22,4.0,16026,160,https://picsum.photos/seed/bellroy-wallets-275/800/1000,5,False,,Red|Black|Purple
276,LEGO Classic Bricks and Wheels - Red (3),kids,toys,lego|creative|red,LEGO,29.72,39.51,25,4.0,7577,250,https://picsum.photos/seed/lego-toys-276/800/1000,5,True,12C|1Y|10C|2Y|13C|3Y,Black|Navy|Red
277,Madewell Transport Tote - Red (4),accessories,bags,tote|leather|red,Madewell,211.25,250.98,16,4.4,11518,341,https://picsum.photos/seed/madewell-bags-277/800/1000,5,True,,Purple|Olive
278,Bose QuietComfort Ultra - Red (2),accessories,headphones,anc|comfort|red,Bose,405.12,458.28,12,4.0,12460,112,https://picsum.photos/seed/bose-headphones-278/800/1000,6,True,,White|Red
279,Gap Kids Graphic Tee - Purple (1),kids,t-shirts,cotton|graphic|purple,Gap,18.98,23.38,19,4.4,7425,291,https://picsum.photos/seed/gap-t-shirts-279/800/1000,5,False,1Y|11C|12C|10C|2Y|13C|3Y,Beige
280,LEGO Classic Bricks and Wheels - Brown (3),kids,toys,lego|creative|brown,LEGO,31.23,36.34,14,4.6,5817,120,https://picsum.photos/seed/lego-toys-280/800/1000,4,False,13C|3Y|12C,White|Pink
281,Apple Watch SE (2nd Gen) - White (2),accessories,watches,smartwatch|fitness|white,Apple,239.15,258.55,8,4.7,10048,296,https://picsum.photos/seed/apple-watches-281/800/1000,4,True,,Brown|Blue
282,Fenty Beauty Gloss Bomb - Purple (2),beauty,makeup,lip gloss|shine|purple,Fenty Beauty,20.71,23.57,12,4.8,16823,387,https://picsum.photos/seed/fenty-beauty-makeup-282/800/1000,3,True,,Blue|Grey|Beige
283,Apple Watch SE (2nd Gen) - White (3),accessories,watches,smartwatch|fitness|white,Apple,237.32,253.47,6,4.2,2967,113,https://picsum.photos/seed/apple-watches-283/800/1000,4,True,,Green|White|Black
284,Oakley Holbrook Prizm - White (1),accessories,sunglasses,prizm|sport|white,Oakley,176.42,192.25,8,4.8,13491,342,https://picsum.photos/seed/oakley-sunglasses-284/800/1000,2,True,,Red|Pink
285,Birkenstock Arizona EVA - Purple (4),footwear,sandals,sandals|summer|purple,Birkenstock,54.46,66.48,18,4.1,12158,12,https://picsum.photos/seed/birkenstock-sandals-285/800/1000,4,True,12|10|11|9|8,Red
286,Gap Kids Graphic Tee - Brown (2),kids,t-shirts,cotton|graphic|brown,Gap,17.19,20.24,15,4.9,10586,108,https://picsum.photos/seed/gap-t-shirts-286/800/1000,4,True,13C|10C|2Y|12C|3Y,Purple
287,The North Face Nuptse Jacket - White (1),women,jackets,down|outdoor|white,The North Face,367.66,427.0,14,4.1,7959,93,https://picsum.photos/seed/the-north-face-jackets-287/800/1000,5,True,L|XXL|XL|S,Pink
288,Olaplex No.3 Hair Perfector - Grey (4),beauty,haircare,bond repair|hair|grey,Olaplex,30.34,36.91,18,4.8,7822,279,https://picsum.photos/seed/olaplex-haircare-288/800/1000,6,False,,Grey|Pink
289,Converse Chuck 70 High - Purple (1),footwear,sneakers,canvas|lifestyle|purple,Converse,97.05,128.76,25,3.8,7915,87,https://picsum.photos/seed/converse-sneakers-289/800/1000,5,False,12|6|8|9,Brown|Green|White
290,Kiehl's Ultra Facial Cream - Purple (1),beauty,moisturizer,moisturizer|hydrating|purple,Kiehl's,40.51,53.23,24,4.5,12918,417,https://picsum.photos/seed/kiehl's-moisturizer-290/800/1000,3,True,,Beige|Olive|Green
291,Hoka Clifton 9 - Brown (3),footwear,running,max cushion|running|brown,Hoka,131.69,144.49,9,3.8,16631,467,https://picsum.photos/seed/hoka-running-291/800/1000,5,False,9|8|11|6|12|10|7,Brown|Red
292,Aritzia Super Puff - Purple (1),women,jackets,puffer|winter|purple,Aritzia,283.87,339.79,16,4.9,683,130,https://picsum.photos/seed/aritzia-jackets-292/800/1000,4,False,XS|L|XXL|XL|M,Brown|White|Blue
293,Dr. Martens 1460 Smooth - Navy (2),footwear,boots,boots|leather|navy,Dr. Martens,167.84,193.2,13,4.7,7252,492,https://picsum.photos/seed/dr.-martens-boots-293/800/1000,6,False,6|10|7|8|11|9,Red
294,Nike Air Force 1 '07 - Purple (3),footwear,sneakers,sneakers|leather|heritage|purple,Nike,122.82,142.05,14,3.9,6543,348,https://picsum.photos/seed/nike-sneakers-294/800/1000,3,False,12|11|8,Brown|Olive|White
295,Skip Hop Diaper Backpack - Black (1),kids,bags,parents|diaper|black,Skip Hop,72.11,83.08,13,4.6,3255,226,https://picsum.photos/seed/skip-hop-bags-295/800/1000,2,False,3Y|13C|10C|1Y|2Y|12C,Black|Blue
296,CeraVe Hydrating Facial Cleanser - Red (2),beauty,skincare,cleanser|ceramides|red,CeraVe,15.41,18.47,17,4.4,10723,197,https://picsum.photos/seed/cerave-skincare-296/800/1000,4,True,,Red
297,Gap Kids Graphic Tee - Olive (2),kids,t-shirts,cotton|graphic|olive,Gap,19.7,23.4,16,4.7,5776,31,https://picsum.photos/seed/gap-t-shirts-297/800/1000,4,True,1Y|10C|13C,Beige|Grey
298,Garmin Forerunner 265 - Brown (1),accessories,watches,gps|running|brown,Garmin,496.39,657.29,24,4.2,4397,184,https://picsum.photos/seed/garmin-watches-298/800/1000,2,True,,Navy
299,Dr. Martens 1460 Smooth - Olive (4),footwear,boots,boots|leather|olive,Dr. Martens,175.34,223.28,21,4.5,2413,246,https://picsum.photos/seed/dr.-martens-boots-299/800/1000,6,True,12|9|10|8,Black
300,Kids Nike Team Hustle D 11 - Brown (4),kids,sneakers,kids|basketball|brown,Nike,72.47,93.09,22,4.9,10570,438,https://picsum.photos/seed/nike-sneakers-300/800/1000,2,True,11C|3Y|10C|2Y,Green|Navy
301,Hoka Clifton 9 - Blue (3),footwear,running,max cushion|running|blue,Hoka,134.96,157.7,14,4.1,1150,23,https://picsum.photos/seed/hoka-running-301/800/1000,2,True,10|6|12,Green
302,The North Face Nuptse Jacket - Olive (3),women,jackets,down|outdoor|olive,The North Face,343.38,462.74,26,4.4,6026,375,https://picsum.photos/seed/the-north-face-jackets-302/800/1000,6,True,XXL|M|XS|L|S,Black
303,Fenty Beauty Gloss Bomb - Olive (4),beauty,makeup,lip gloss|shine|olive,Fenty Beauty,19.25,21.21,9,5.0,7017,327,https://picsum.photos/seed/fenty-beauty-makeup-303/800/1000,2,False,,Pink|Brown|Beige
304,Adidas Originals Stan Smith Kids - Navy (1),kids,sneakers,kids|sneakers|navy,Adidas,71.24,78.96,10,4.1,3372,187,https://picsum.photos/seed/adidas-sneakers-304/800/1000,4,True,12C|3Y|13C,Olive|Red
305,Nike Air Force 1 '07 - Purple (4),footwear,sneakers,sneakers|leather|heritage|purple,Nike,124.89,147.25,15,4.3,6286,208,https://picsum.photos/seed/nike-sneakers-305/800/1000,4,False,9|6|10|12|7|11|8,Grey|Beige
306,Olaplex No.3 Hair Perfector - Red (1),beauty,haircare,bond repair|hair|red,Olaplex,28.6,38.31,25,4.9,557,176,https://picsum.photos/seed/olaplex-haircare-306/800/1000,4,True,,Beige
307,Levi's Ribcage Straight Ankle - Purple (4),women,jeans,denim|high rise|purple,Levi's,98.23,128.95,24,4.9,2337,399,https://picsum.photos/seed/levi's-jeans-307/800/1000,3,False,XXL|L|XL,Brown|Beige
308,Skip Hop Diaper Backpack - White (3),kids,bags,parents|diaper|white,Skip Hop,76.46,95.26,20,5.0,3410,399,https://picsum.photos/seed/skip-hop-bags-308/800/1000,4,True,1Y|2Y|11C,Beige|White
309,Carhartt WIP Chase Hoodie - Beige (4),men,hoodies,fleece|street|beige,Carhartt WIP,96.45,106.13,9,4.9,11177,285,https://picsum.photos/seed/carhartt-wip-hoodies-309/800/1000,6,True,M|S|L|XL|XS,Brown|Grey
310,CeraVe Hydrating Facial Cleanser - Grey (2),beauty,skincare,cleanser|ceramides|grey,CeraVe,17.07,20.64,17,4.7,3106,87,https://picsum.photos/seed/cerave-skincare-310/800/1000,6,False,,Grey
311,Oakley Holbrook Prizm - Grey (3),accessories,sunglasses,prizm|sport|grey,Oakley,189.23,244.32,23,4.9,2700,404,https://picsum.photos/seed/oakley-sunglasses-311/800/1000,3,True,,Green|Red|Black
312,Gap Kids Graphic Tee - Black (3),kids,t-shirts,cotton|graphic|black,Gap,16.23,18.84,14,4.8,419,359,https://picsum.photos/seed/gap-t-shirts-312/800/1000,5,True,11C|10C|1Y|3Y|2Y,Purple|Red|Pink
313,New Balance 990v6 - Black (4),footwear,running,running|made in usa|suede|black,New Balance,215.16,269.57,20,4.9,16942,208,https://picsum.photos/seed/new-balance-running-313/800/1000,3,True,11|7|8|10|6|12,Olive|Beige|Red
314,Kids Nike Team Hustle D 11 - Olive (4),kids,sneakers,kids|basketball|olive,Nike,76.52,91.22,16,4.0,8677,302,https://picsum.photos/seed/nike-sneakers-314/800/1000,2,True,13C|1Y|11C|10C|12C|3Y|2Y,Navy
315,Fenty Beauty Gloss Bomb - Red (2),beauty,makeup,lip gloss|shine|red,Fenty Beauty,19.72,23.76,17,3.9,2133,329,https://picsum.photos/seed/fenty-beauty-makeup-315/800/1000,3,False,,Black|Red|Pink
316,Sephora Collection Cream Lip Stain - Olive (1),beauty,makeup,lip|matte|olive,Sephora Collection,16.69,18.33,9,4.5,8054,245,https://picsum.photos/seed/sephora-collection-makeup-316/800/1000,5,True,,Grey|Purple|Pink
317,Uniqlo U Crew Neck T-Shirt - Brown (1),men,t-shirts,basics|cotton|brown,Uniqlo,19.08,20.32,6,4.5,2800,186,https://picsum.photos/seed/uniqlo-t-shirts-317/800/1000,2,True,L|XL|XS|M,Green|Beige|Red
318,Tumi Alpha 3 Expandable Brief - Black (1),accessories,bags,brief|travel|black,Tumi,503.62,577.8,13,4.2,17110,220,https://picsum.photos/seed/tumi-bags-318/800/1000,3,False,,White
319,COS Relaxed Linen Shirt - Green (4),men,shirts,linen|summer|green,COS,85.88,114.59,25,5.0,17732,20,https://picsum.photos/seed/cos-shirts-319/800/1000,3,True,XL|S|XXL|M|XS,Grey|Navy
320,Madewell Transport Tote - Purple (3),accessories,bags,tote|leather|purple,Madewell,215.79,271.37,20,4.0,9624,177,https://picsum.photos/seed/madewell-bags-320/800/1000,4,True,,Brown
321,COS Relaxed Linen Shirt - Brown (4),men,shirts,linen|summer|brown,COS,88.34,98.81,11,4.1,10463,410,https://picsum.photos/seed/cos-shirts-321/800/1000,4,False,XS|M|XXL,Purple|Red
322,Bellroy Slim Sleeve Wallet - Pink (1),accessories,wallets,leather|rfid|pink,Bellroy,79.83,101.12,21,4.3,3653,295,https://picsum.photos/seed/bellroy-wallets-322/800/1000,2,True,,Brown|Green
323,Gap Kids Graphic Tee - White (1),kids,t-shirts,cotton|graphic|white,Gap,17.46,18.59,6,4.0,14245,361,https://picsum.photos/seed/gap-t-shirts-323/800/1000,3,True,2Y|1Y,Beige|Red
324,Dr. Martens 1460 Smooth - Green (3),footwear,boots,boots|leather|green,Dr. Martens,177.01,198.53,11,5.0,6362,263,https://picsum.photos/seed/dr.-martens-boots-324/800/1000,3,True,8|10|9|7|6|11|12,Grey|Pink
325,Kindle Paperwhite 11th Gen - Red (4),accessories,ereader,ereader|waterproof|red,Amazon,150.84,193.58,22,4.8,5514,55,https://picsum.photos/seed/amazon-ereader-325/800/1000,4,True,,Grey|Blue|White
326,Adidas Originals Stan Smith Kids - Grey (4),kids,sneakers,kids|sneakers|grey,Adidas,73.76,99.33,26,4.5,10848,280,https://picsum.photos/seed/adidas-sneakers-326/800/1000,3,True,12C|11C|10C|2Y|13C|1Y,Navy|Beige|Blue
327,Carhartt WIP Chase Hoodie - Red (3),men,hoodies,fleece|street|red,Carhartt WIP,99.01,110.86,11,3.8,11718,247,https://picsum.photos/seed/carhartt-wip-hoodies-327/800/1000,3,True,M|L|XXL,Red|Brown
328,Bellroy Slim Sleeve Wallet - Olive (4),accessories,wallets,leather|rfid|olive,Bellroy,84.32,108.51,22,4.4,11427,476,https://picsum.photos/seed/bellroy-wallets-328/800/1000,5,True,,Navy
329,Patagonia Better Sweater Fleece - White (2),women,sweaters,fleece|outdoor|white,Patagonia,134.75,157.26,14,4.0,16784,412,https://picsum.photos/seed/patagonia-sweaters-329/800/1000,6,True,M|S|L|XL,Black|Grey|Brown
330,Skip Hop Diaper Backpack - White (4),kids,bags,parents|diaper|white,Skip Hop,81.9,96.92,15,4.3,9354,249,https://picsum.photos/seed/skip-hop-bags-330/800/1000,3,False,2Y|3Y|11C,Green|Brown|Navy
331,Patagonia Better Sweater Fleece - Brown (3),women,sweaters,fleece|outdoor|brown,Patagonia,159.33,197.17,19,4.9,16762,274,https://picsum.photos/seed/patagonia-sweaters-331/800/1000,5,True,XL|XS|M|XXL|L|S,Beige
332,Birkenstock Arizona EVA - Blue (4),footwear,sandals,sandals|summer|blue,Birkenstock,45.44,53.17,15,3.8,15168,475,https://picsum.photos/seed/birkenstock-sandals-332/800/1000,6,True,6|9|11|8|7|12,Beige|Black
333,Garmin Forerunner 265 - Black (1),accessories,watches,gps|running|black,Garmin,437.23,574.06,24,4.3,17583,59,https://picsum.photos/seed/garmin-watches-333/800/1000,6,True,,White
334,Uniqlo U Crew Neck T-Shirt - Grey (3),men,t-shirts,basics|cotton|grey,Uniqlo,20.56,22.0,7,3.9,2878,32,https://picsum.photos/seed/uniqlo-t-shirts-334/800/1000,6,True,S|M|XS|XL|XXL|L,Olive|Green
335,Dr. Martens 1460 Smooth - Pink (1),footwear,boots,boots|leather|pink,Dr. Martens,192.73,220.78,13,3.8,12044,373,https://picsum.photos/seed/dr.-martens-boots-335/800/1000,4,True,12|6|10|8|9,Brown|Navy|Green
336,The North Face Nuptse Jacket - Black (4),women,jackets,down|outdoor|black,The North Face,347.19,419.51,17,4.0,2745,31,https://picsum.photos/seed/the-north-face-jackets-336/800/1000,5,False,XXL|M|XS|L|S|XL,Navy|Olive|Green
337,Levi's 501 Original Fit Jeans - Grey (3),men,jeans,denim|heritage|grey,Levi's,105.41,127.52,17,5.0,4466,168,https://picsum.photos/seed/levi's-jeans-337/800/1000,3,False,L|XS|XL|M,Grey
338,Sony WH-1000XM5 - Navy (3),accessories,headphones,anc|wireless|navy,Sony,361.85,482.94,25,4.2,11764,386,https://picsum.photos/seed/sony-headphones-338/800/1000,6,True,,Blue|Purple|Brown
339,Gap Kids Graphic Tee - Green (4),kids,t-shirts,cotton|graphic|green,Gap,19.64,22.8,14,4.5,2243,367,https://picsum.photos/seed/gap-t-shirts-339/800/1000,3,True,1Y|10C|11C|12C|3Y,Green|Blue|Red
340,Bellroy Slim Sleeve Wallet - White (3),accessories,wallets,leather|rfid|white,Bellroy,82.45,110.82,26,4.8,7424,380,https://picsum.photos/seed/bellroy-wallets-340/800/1000,3,True,,Pink|Grey
341,Garmin Forerunner 265 - Olive (4),accessories,watches,gps|running|olive,Garmin,502.86,650.18,23,4.0,8150,273,https://picsum.photos/seed/garmin-watches-341/800/1000,2,True,,Pink
342,Anker 737 Power Bank - Red (1),accessories,gadgets,power bank|usb-c|red,Anker,136.87,184.61,26,4.1,16184,211,https://picsum.photos/seed/anker-gadgets-342/800/1000,4,True,,Grey|Beige|Navy
343,Patagonia Better Sweater Fleece - Navy (3),women,sweaters,fleece|outdoor|navy,Patagonia,157.21,169.67,7,4.1,7501,359,https://picsum.photos/seed/patagonia-sweaters-343/800/1000,3,True,XXL|L|S,Green
344,Sony WH-1000XM5 - Beige (2),accessories,headphones,anc|wireless|beige,Sony,419.44,472.93,11,5.0,3139,222,https://picsum.photos/seed/sony-headphones-344/800/1000,2,True,,Brown
345,Fenty Beauty Gloss Bomb - White (2),beauty,makeup,lip gloss|shine|white,Fenty Beauty,24.05,27.22,12,4.6,2615,488,https://picsum.photos/seed/fenty-beauty-makeup-345/800/1000,4,True,,Grey
346,Kiehl's Ultra Facial Cream - Olive (3),beauty,moisturizer,moisturizer|hydrating|olive,Kiehl's,42.38,45.99,8,4.4,4114,327,https://picsum.photos/seed/kiehl's-moisturizer-346/800/1000,5,False,,Blue
347,Carter's 2-Piece Pajama Set - Blue (4),kids,sleepwear,pajamas|soft|blue,Carter's,24.72,30.41,19,4.3,2710,247,https://picsum.photos/seed/carter's-sleepwear-347/800/1000,4,True,11C|2Y|10C,Purple|Blue
348,Timberland 6-Inch Premium - Purple (2),footwear,boots,boots|waterproof|purple,Timberland,197.94,258.16,23,4.6,9579,461,https://picsum.photos/seed/timberland-boots-348/800/1000,4,True,10|8|7|11|9|12|6,Black
349,Aritzia Super Puff - Blue (4),women,jackets,puffer|winter|blue,Aritzia,251.6,307.13,18,4.9,14212,45,https://picsum.photos/seed/aritzia-jackets-349/800/1000,3,True,XL|L|XXL,Navy|Black|Brown
350,Rains Long Jacket - Blue (2),men,jackets,rain|lightweight|blue,Rains,131.39,168.17,22,4.4,10070,455,https://picsum.photos/seed/rains-jackets-350/800/1000,6,True,M|XS|L,Blue|Red|Brown
351,Levi's 501 Original Fit Jeans - Brown (2),men,jeans,denim|heritage|brown,Levi's,88.59,103.46,14,4.3,6782,410,https://picsum.photos/seed/levi's-jeans-351/800/1000,6,True,M|L|XS|XXL,Olive|Brown|Beige
352,Allbirds Wool Runner - Pink (1),footwear,sneakers,merino|sustainable|pink,Allbirds,123.83,149.24,17,3.8,6505,214,https://picsum.photos/seed/allbirds-sneakers-352/800/1000,5,True,6|12|8|9|11|7|10,Beige|Pink
353,Arc'teryx Atom LT Hoody - Red (4),men,jackets,insulated|outdoor|red,Arc'teryx,260.53,274.42,5,4.3,6727,273,https://picsum.photos/seed/arc'teryx-jackets-353/800/1000,6,True,XS|L|XL|M|S,Beige|Grey|Black
354,Reformation Nikita Dress - Black (1),women,dresses,sustainable|summer|black,Reformation,241.63,272.94,11,4.3,10832,60,https://picsum.photos/seed/reformation-dresses-354/800/1000,5,False,XXL|XS|S,White|Red|Beige
355,Sephora Collection Cream Lip Stain - Navy (4),beauty,makeup,lip|matte|navy,Sephora Collection,16.33,21.62,24,4.9,14919,393,https://picsum.photos/seed/sephora-collection-makeup-355/800/1000,6,True,,Blue|Green
356,Anker 737 Power Bank - Purple (1),accessories,gadgets,power bank|usb-c|purple,Anker,151.91,168.88,10,4.6,9120,443,https://picsum.photos/seed/anker-gadgets-356/800/1000,5,True,,Pink|Purple
357,Casio G-Shock DW5600 - Red (1),accessories,watches,shock resistant|digital|red,Casio,105.39,129.1,18,5.0,8369,416,https://picsum.photos/seed/casio-watches-357/800/1000,6,True,,Pink|Black
358,Rains Long Jacket - Olive (2),men,jackets,rain|lightweight|olive,Rains,133.74,161.67,17,4.9,16028,479,https://picsum.photos/seed/rains-jackets-358/800/1000,5,True,S|XXL|XS|M,Blue|Grey
359,LEGO Classic Bricks and Wheels - Beige (3),kids,toys,lego|creative|beige,LEGO,31.02,38.55,20,4.7,11030,263,https://picsum.photos/seed/lego-toys-359/800/1000,5,False,2Y|1Y,Beige
